inchikey,smiles_can,in_m2or,m2or_id,in_leffingwell,leffingwell_id,in_goodscents,goodscents_id,skeleton,in_chembl,in_chembl_skeleton,is_odorant,chembl_id
NMZMQQBBZRGLPJ-UHFFFAOYSA-N,CCOC(=O)CC(C)CC(C)(C)C,0,,1,3017783,1,3017783,NMZMQQBBZRGLPJ,0,0,1,
LBQJYAKETIUXGG-UHFFFAOYSA-N,CCCCCCCCC=CC(OCC)OCC,0,,1,3018094,0,,LBQJYAKETIUXGG,0,0,1,
HYNXWFKVWMABRM-UHFFFAOYSA-N,CCOC(CC(C)CCC=C(C)C)OCC,0,,1,3018210,0,,HYNXWFKVWMABRM,0,0,1,
OVQHJRCXRNGXRJ-UHFFFAOYSA-N,CCCCCCCCC=COC,0,,1,3018221,0,,OVQHJRCXRNGXRJ,0,0,1,
KXSLATJQCYFGPZ-UHFFFAOYSA-N,CCCCCCCCCOC(=O)c1ccccc1N,0,,1,3018362,1,3018362,KXSLATJQCYFGPZ,0,0,1,
XWXXXLODHHHRGE-UHFFFAOYSA-N,CCCCCCCCCCCCC(OCC)OCC,0,,1,3018383,0,,XWXXXLODHHHRGE,0,0,1,
ZCYIZHWZWCLYQE-UHFFFAOYSA-N,CCCCCC(C)(O)CC(C)C,0,,1,3018500,1,3018500,ZCYIZHWZWCLYQE,0,0,1,
PGAUNUCMBMQPFT-UHFFFAOYSA-N,CCCC(=O)OCSC,0,,1,3018539,1,3018539,PGAUNUCMBMQPFT,0,0,1,
PFGKDSOUFDQBLI-UHFFFAOYSA-N,CC(C)CCOC(C)OCC(C)C,0,,1,3018567,0,,PFGKDSOUFDQBLI,0,0,1,
LOSARDBKYQAFPN-UHFFFAOYSA-N,CCC(C)CCCCCCCCCCC=O,0,,1,3018620,0,,LOSARDBKYQAFPN,0,0,1,
ZRTWVYJNKXXDDT-UHFFFAOYSA-N,CC1=C2CCC(C)C=C2OC1=O,0,,1,3018936,1,3018936,ZRTWVYJNKXXDDT,0,0,1,
NXBIDOXPIIWDMX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCCC(C)C,0,,1,3019031,0,,NXBIDOXPIIWDMX,0,0,1,
LTOLHPXUSLBUHD-UHFFFAOYSA-N,C=C(C)CCOC(=O)C(C)CC,0,,1,3019775,0,,LTOLHPXUSLBUHD,0,0,1,
XOTYBNFHVHYKJB-UHFFFAOYSA-N,CSCCCOC(=O)CC(C)C,0,,1,3019958,0,,XOTYBNFHVHYKJB,0,0,1,
CDUMXRCATAAWBT-UHFFFAOYSA-N,CCOC(CC(C)C)OCC(C)C,0,,1,3020407,0,,CDUMXRCATAAWBT,0,0,1,
JMXMTQDOJYBDSL-UHFFFAOYSA-N,CCOC(=O)CC(C)SCC,0,,1,3021670,1,3021670,JMXMTQDOJYBDSL,0,0,1,
CXUHLUIXDGOURI-UHFFFAOYSA-N,CC(C)(C)CC(C)(S)CC(C)(C)C,0,,1,3022051,0,,CXUHLUIXDGOURI,0,0,1,
DLUUSIFAGWCEES-UHFFFAOYSA-N,CCCCC(CC)C(=O)OCCc1ccccc1,0,,1,3022280,0,,DLUUSIFAGWCEES,0,0,1,
