pattern,tag,obs,exp,obs_exp,p
110,strawberry,0,0.43,0.0,1.0
110,dry,0,0.43,0.0,1.0
110,medicinal,0,0.43,0.0,1.0
110,terpenic,0,0.43,0.0,1.0
110,jasmin,0,0.43,0.0,1.0
110,roasted,0,0.43,0.0,1.0
110,coffee,0,0.43,0.0,1.0
110,cinnamon,0,0.43,0.0,1.0
110,cucumber,0,0.36,0.0,1.0
110,coumarinic,2,0.36,5.569230769230769,0.042241780391362845
110,buttery,1,0.36,2.7846153846153845,0.31409455014927284
110,almond,1,0.36,2.7846153846153845,0.31409455014927284
110,chicken,0,0.36,0.0,1.0
110,onion,0,0.36,0.0,1.0
110,hay,0,0.36,0.0,1.0
110,orris,0,0.36,0.0,1.0
110,acidic,0,0.36,0.0,1.0
110,winey,0,0.36,0.0,1.0
