node,tag,obs,exp,obs_exp,p
5,sharp,7,5.06,1.3831168831168832,0.1857597045300715
5,orange,6,5.06,1.1855287569573285,0.39055647082937583
5,burnt,2,4.6,0.4346938775510204,0.9821338799293052
5,meaty,1,4.6,0.2173469387755102,0.9982561613927314
5,pear,5,4.6,1.086734693877551,0.5226834168289272
5,buttery,9,4.6,1.9561224489795919,0.004561398927817683
5,animal,4,4.6,0.8693877551020408,0.7604650661011692
5,milky,8,4.6,1.7387755102040816,0.028693739502349495
5,phenolic,1,4.14,0.2414965986394558,0.9966439332463888
5,honey,3,4.14,0.7244897959183674,0.8695943282934823
5,roasted,1,4.14,0.2414965986394558,0.9966439332463888
5,camphoreous,1,4.14,0.2414965986394558,0.9966439332463888
5,tobacco,4,3.68,1.086734693877551,0.5477585725703635
5,plum,4,3.68,1.086734693877551,0.5477585725703635
5,minty,2,3.68,0.5433673469387755,0.9468942223463708
5,coffee,1,3.68,0.27168367346938777,0.9935701524813991
5,melon,2,3.68,0.5433673469387755,0.9468942223463708
5,berry,5,3.68,1.3584183673469388,0.2762863210670833
5,jasmine,1,3.68,0.27168367346938777,0.9935701524813991
5,acidic,3,3.68,0.8150510204081634,0.8015136876597456
5,medicinal,0,3.22,0.0,1.0
5,cherry,2,3.22,0.6209912536443148,0.9105490886747145
5,onion,1,3.22,0.3104956268221574,0.9877356612145206
5,pine,1,3.22,0.3104956268221574,0.9877356612145206
5,chicken,0,3.22,0.0,1.0
5,winey,5,3.22,1.5524781341107872,0.16236492981124234
5,cinnamon,0,2.76,0.0,1.0
5,jasmin,1,2.76,0.3622448979591837,0.9767090079945483
5,strawberry,3,2.76,1.086734693877551,0.5802127740658685
5,cucumber,2,2.76,0.7244897959183674,0.852208068910861
5,terpenic,0,2.76,0.0,1.0
5,dry,2,2.76,0.7244897959183674,0.852208068910861
