smiles_id,cluster,class_group,inchikey,row,in_universe
SML0312,5,,ALVPFGSHPUPROW-UHFFFAOYSA-N,720562,True
SML0313,5,,GAZXPZNJTZIGBO-UHFFFAOYSA-N,721687,True
SML0314,3,,MBDOYVRWFFCFHM-SNAWJCMRSA-N,723146,True
SML0317,5,,HCRBXQFHJMCTLF-UHFFFAOYSA-N,721955,True
SML0318,1,,YSNWHRKJEKWJNY-UHFFFAOYSA-N,726061,True
SML0319,5,,PPXUHEORWJQRHJ-UHFFFAOYSA-N,724045,True
SML0320,1,Class II only,OFQRUTMGVBMTFQ-UHFFFAOYSA-N,723707,True
SML0321,3,,XEKOWRVHYACXOJ-UHFFFAOYSA-N,725695,True
SML0322,0,shared,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,723327,True
SML0323,3,Class I only,OBNCKNCVKJNDBV-UHFFFAOYSA-N,723673,True
SML0324,4,shared,KBEBGUQPQBELIU-CMDGGOBGSA-N,722647,True
SML0325,1,shared,SHZIWNPUGXLXDT-UHFFFAOYSA-N,724694,True
SML0326,3,Class I only,ICMAFTSLXCXHRK-UHFFFAOYSA-N,722189,True
SML0327,0,shared,DULCUDSUACXJJC-UHFFFAOYSA-N,721384,True
SML0328,1,shared,JJOYCHKVKWDMEA-UHFFFAOYSA-N,722477,True
SML0329,4,shared,ZFFTZDQKIXPDAF-UHFFFAOYSA-N,726206,True
SML0330,1,shared,CETWDUZRCINIHU-UHFFFAOYSA-N,720971,True
SML0331,5,,AOGQPLXWSUTHQB-UHFFFAOYSA-N,720586,True
SML0333,3,Class I only,UUIQMZJEGPQKFD-UHFFFAOYSA-N,725074,True
SML0334,5,,ZOYASYRPGHCQHW-UHFFFAOYSA-N,726299,True
SML0335,3,,UAHWPYUMFXYFJY-UHFFFAOYSA-N,724906,True
SML0336,1,shared,VKCYHJWLYTUGCC-UHFFFAOYSA-N,725206,True
SML0337,3,Class I only,TZMFJUDUGYTVRY-UHFFFAOYSA-N,724897,True
SML0339,4,shared,GCZQHDFWKVMZOE-UHFFFAOYSA-N,721704,True
SML0340,4,shared,CCRCUPLGCSFEDV-BQYQJAHWSA-N,720954,True
SML0341,0,shared,UYLKDZXJEKFFHJ-UHFFFAOYSA-N,725108,True
SML0342,0,shared,NWYGPVZOBBHKLI-UHFFFAOYSA-N,723635,True
SML0343,3,shared,CLSLQQCDHOZMDT-UHFFFAOYSA-N,721027,True
SML0344,4,shared,OFQPKKGMNWASPN-UHFFFAOYSA-N,723706,True
SML0345,3,Class I only,QZZBJCFNHPYNKO-UHFFFAOYSA-N,724378,True
SML0346,4,shared,UENWRTRMUIOCKN-UHFFFAOYSA-N,724948,True
SML0347,4,shared,SKSFHXVDHVKIBN-UHFFFAOYSA-N,724725,True
SML0348,0,shared,VAJVDSVGBWFCLW-UHFFFAOYSA-N,725134,True
SML0349,4,shared,XPFVYQJUAUNWIW-UHFFFAOYSA-N,725793,True
SML0350,4,shared,WVDDGKGOMKODPV-UHFFFAOYSA-N,725590,True
SML0351,4,shared,HYBBIBNJHNGZAN-UHFFFAOYSA-N,722148,True
SML0352,5,,XHIUFYZDQBSEMF-UHFFFAOYSA-N,725712,True
SML0353,5,,WDAXFOBOLVPGLV-UHFFFAOYSA-N,725385,True
SML0355,1,,AMXYRHBJZOVHOL-DYWGDJMRSA-N,720575,True
SML0356,5,,BGVBGAIWXAXBLP-UHFFFAOYSA-N,720751,True
SML0357,4,shared,XMGQYMWWDOXHJM-JTQLQIEISA-N,725760,True
